"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3390.14769019808/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x63e594eed68464d538278ff0ff4c5d45b271237fc858e43a2e272e5bdaca29fb","8623089","1569481587","2019-09-26 07:06:27","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","0","0","0","0.03517911","119.262378509724","166.06","","","0x60806040"
"0xe41813348c0f27053e87ab82611dc7e602d11767d7ea3b35b61a54c2ddc62997","8623095","1569481654","2019-09-26 07:07:34","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.00134202","4.54964600319963","166.06","","","Set Target"
"0xfd1131fd607bbc04894d894311700c092618b2e5b0b48ba0aa49d22028365a3a","8623535","1569487735","2019-09-26 08:48:55","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0008965002","3.03926808229212","166.06","","","Nominate New Owner"
"0xe04875febd8b28a8db50ee3ad7c1811bb1d44f2b950a0dbbb25700882667cf29","8672877","1570154604","2019-10-04 02:03:24","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000115482","0.391501035559455","176.21","","","Accept Ownership"
"0xcbc5942322aa648172f5b6f08a84386b3b68d6b344661be36a6f28c1e642839e","8887230","1573090326","2019-11-07 01:32:06","0xff19ad332cc5bb32703a3058c6f93ce177cfbb08","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000175106","0.593635201439825","186.54","","","Transfer"
"0x5b89b0ad30b6ba76af6511b75b6b3872f55cfa2db4e41f1dd605c0356163aaa2","9060275","1575632278","2019-12-06 11:37:58","0x4d37f28d2db99e8d35a6c725a5f1749a085850a3","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000687324","2.33012987101771","149.06","","","Approve"
"0xb27cd00ecaa1e264140e260524171f9201ef4d7a004f9308caa1a0b724c233bd","9123750","1576640704","2019-12-18 03:45:04","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000237392","0.804793940471503","133.07","","","Set Target"
"0xdba7b3c460ca38ad77f0331aab9e57e27e4b339029f9e36ac1fdeaeaa72abe7f","9519096","1582188022","2020-02-20 08:40:22","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000178116","0.603839545987321","257.70","","","Set Target"
"0x6334b68320f75020be9949fd7d03deb8a4eebcccc2f7a5ae984fe83891c381cd","9595380","1583200998","2020-03-03 02:03:18","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000089108","0.302089280378171","223.77","","","Nominate New Owner"
"0xa51da2202beb0885c9e7943cb523194c3d9baa2ffe176accdeafff3a9ebef186","9962763","1588101150","2020-04-28 19:12:30","0x042ed37d32b88ab6b1c2e7b8a400dcdc728050bc","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0006144592","2.08310743760096","196.86","","","Transfer And Settle"
"0x2e28984d0d69e4bc55a9620388ade91bc71f9d2678ccc4a94d83d385017dcb15","9963357","1588108968","2020-04-28 21:22:48","0xb73e1ac5c70efdcc7e340460dc639fadc3a74728","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.000248369","0.842007591666807","196.86","","","Transfer"
"0xa458f116765213719adf4cc22348f2a1f0bb1c8622c82322f7e5a6059c61bd3e","9973963","1588250361","2020-04-30 12:39:21","0xf199f47b747e50e024216d477107e04777b37af1","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0021047425","7.13538792483673","206.27","","","Transfer"
"0x779189872d2282ddbe1efbf8c9d67e1f9a0d89b38372f4065fb4fcbab882ea01","10027021","1588959936","2020-05-08 17:45:36","0xb73e1ac5c70efdcc7e340460dc639fadc3a74728","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.001693605","5.74157107885792","211.54","","","Transfer"
"0x5a3c983b4bc197448909be61b7af945ccb4657183087b36832746e664552a554","10027028","1588960021","2020-05-08 17:47:01","0x81a3e936b4b6e6d85b54988b26ad5aa9da487b48","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.001664419","5.6426262283718","211.54","","","Transfer"
"0x47f3d86fdb1749599bb34fc2e223beb31354801254b1da491c4ed7afe4f7ab1a","10027258","1588963007","2020-05-08 18:36:47","0xb73e1ac5c70efdcc7e340460dc639fadc3a74728","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.00097931","3.32000553448788","211.54","","","Transfer"
"0xba214217a6249ed11ad93e6a66a2f11c1af44079afd4f25695495b96a8e915db","10027264","1588963058","2020-05-08 18:37:38","0x81a3e936b4b6e6d85b54988b26ad5aa9da487b48","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0011527409","3.90796189953186","211.54","","","Transfer"
"0xb9d3d8da246838461f7ef672d248d30648991cfb674d32719c99bca88f2fcdfc","10071116","1589550825","2020-05-15 13:53:45","0x652fc5b8686417bbf49f3efab8cabe0cb6b1ce05","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.00338721","11.4831421577158","194.65","","","Transfer"
"0xcac580185754b070b7722eed59a3c259ee797238eda8e85b43d633da1a6d4868","10098238","1589916241","2020-05-19 19:24:01","0x2d5f0a119adf3b25135dfb659393951e8147e6e5","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0016995935","5.76187297830067","214.63","","","Transfer"
"0x2371ec5487bd0cf3fe93d1ece7191db86ccaf8da95efa1cae0a5fcb54275024e","10098247","1589916365","2020-05-19 19:26:05","0x8bdf979d2e05778a7a70c92746fc3e71fb8a771c","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0022579","7.65461446969825","214.63","","","Transfer"
"0x7956390363cc9aa15f699db18a8bd6e5f3fd2521af9cca5b0899a8e01fd5bef5","10180596","1591022723","2020-06-01 14:45:23","0x3f81438a73626756c4027f1e58547a585ee843c4","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.00293685","9.95635524395823","248.21","","","Transfer"
"0x574423e4aa9eebf5b0d7ba1a3f579a089557d9600707189b3c0f9c94690376e5","10303473","1592667393","2020-06-20 15:36:33","0x4d37f28d2db99e8d35a6c725a5f1749a085850a3","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0021203164","7.18818574594911","228.89","","","Approve"
"0x754a99d9393bb98abb79391c1602afc86ec4b3d7a0c1ba51ac5bac074a1d8b9c","10547827","1595936955","2020-07-28 11:49:15","0xff0390532d97ad9ac39bfd845f93a219e9550663","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.011345256","38.4620934231059","317.47","","","Transfer"
"0xd4072e7ed5efc4ed501ff517953afbdc3911964f8da6e725242f2cada0e4e2f8","10718472","1598210436","2020-08-23 19:20:36","0x4f0fe7cd3c5c41479df04f3b010632e16155141f","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.003042738","10.3153312025779","390.72","Error(0)","Reverted","Transfer"
"0x951429c0afbaf6c7d28daac0c49b33770ba4f25fc46ca07098a1fefa234e82b7","10718499","1598210791","2020-08-23 19:26:31","0x4f0fe7cd3c5c41479df04f3b010632e16155141f","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.003041346","10.3106121169932","390.72","Error(0)","Reverted","Transfer"
"0x2c2b1b41ab5f25ac676d1c513f3bb6648cf6f35c0806bdb055324651681ab63d","12563401","1622748419","2021-06-03 19:26:59","0xd66c178d78a1207c52be3aeecf7a5ff440910d09","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.003661266","12.4122324731008","2856.01","","","Approve"
"0x40118a31ae7299648fa7c685079a3487556615b99a644a99ff1e75c005696b19","12668111","1624149932","2021-06-20 00:45:32","0x229fed4f4192ba3aba690e37088bb4a68881df3d","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.00070073","2.3755781909525","2243.60","","","Approve"
"0x3e130e5a0db7df354b59370ad613717ee31b866195b1708b0ee0a38491f1ffb9","13042214","1629196840","2021-08-17 10:40:40","0x974e8e383bebb8e2cb2d3d50270d8084e8c30bfc","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.003204479831651462","10.8636598995595","3011.96","","","Approve"
"0x301346292a5f8f4b1f7f98ae52fecc00ace1907123ed5ebe1e79e772a751a2d2","13054690","1629362586","2021-08-19 08:43:06","0x79674a6bfe3f20df9c46b3849c437f7b8441ee14","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.001611679","5.46382983919075","3184.74","","","Approve"
"0x989ddf6d9b230750cbb873f40816284e1b8b053d6a30bb460d056a9916ddc3e5","13055846","1629378140","2021-08-19 13:02:20","0x7de76c466d40a94a487ae866d041c4b5272083e4","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0019900732","6.7466420623051","3184.74","","","Approve"
"0x52b9fe9804a4392395e12199b869dcb986d1d46794e8952d7b438b66b9beab3e","13056355","1629384890","2021-08-19 14:54:50","0xdf5ce70cfe1addbc9fb26b5952d9d600dfe3f628","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.009048576","30.6760090259818","3184.74","","","Transfer"
"0xbe327f18cb271f56f8cd8d9e0454ac4ca735d380196b2822d0475c798f3d4680","13097770","1629937666","2021-08-26 00:27:46","0x956a64f1028de63b3984637ddd10ae96662b3acd","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.004699112911353651","15.9306867824056","3093.62","","","Approve"
"0x3ed30820d6cdeae43c96459242853e5ce8716732bb07b3c9fa0e369c8396d005","13098054","1629941918","2021-08-26 01:38:38","0x5ae26bf6a11d92e51a9f58988cfdf9b6cdba9838","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.005358395837255226","18.1657532708378","3093.62","","","Approve"
"0xca0fb623911e137d0bcf5fa6535cd04d7da4da7647608b21fed2971ab23f52e4","13145014","1630568694","2021-09-02 07:44:54","0x431e81e5dfb5a24541b5ff8762bdef3f32f96354","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.004609258873707725","15.6260683242252","3787.70","","","Approve"
"0x688d95a533d1728a06cc24a0cd1a0d7b5cd7bb385b60dc80d415125c36cf23ec","13184581","1631097211","2021-09-08 10:33:31","0xccf6c29d87eb2c0bafede74f5df35f84541f4549","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.005465694","18.5295098894295","3499.69","","","Approve"
"0x7f3ddbf2efcff2803d52020c1512d227679e633af99ba4d2f2e04f4978d2deb6","13189505","1631163045","2021-09-09 04:50:45","0x50664ede715e131f584d3e7eaabd7818bb20a068","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.009389782","31.8327477587635","3424.24","","","Approve"
"0x48900da9474687b956044d80732faeb8de1742f6662555a2c1de3db6dfa9fd45","13191213","1631186350","2021-09-09 11:19:10","0x2af33e93f68b8497bb535c492f5867c7e83f2bc4","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.0059632123","20.2161704050058","3424.24","","","Approve"
"0xb2bf7a3fe677c8234fce00ceef08655eda8902f9a5e96a6b39e272505a2d5d36","13193122","1631211706","2021-09-09 18:21:46","0x3e13fd392d3feb075b58f309d84c20698a54c10b","0x0f83287ff768d1c1e17a42f44d644d7f22e8ee1d","","0","0","0","0.007988322","27.0815913768585","3424.24","","","Approve"
