"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3387.617819975/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x2c53357ad2e530fdacb71fdee91776c9cbfac37206b0589b1bb121d9cc9c497f","19669856","1713292451","2024-04-16 18:34:11","0xede8a407913a874dd7e3d5b731afca135d30375e","","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","0","0","0","0.016154031853781494","54.723686172314","3085.42","","","0x60806040"
"0xdcc47953a8939ec1f2c1d15feef6de72ff81b955d75d361d5265979f6c723953","19670075","1713295091","2024-04-16 19:18:11","0xede8a407913a874dd7e3d5b731afca135d30375e","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.00046358829669425","1.5704599750133","3085.42","","","Nominate New Owner"
"0x996227310e5b9831f4635117460bad9aed0d01213640f21f375dbf6566a74c80","19790598","1714751531","2024-05-03 15:52:11","0xede8a407913a874dd7e3d5b731afca135d30375e","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.003527401989473011","11.949489837754","3103.77","","","Redeem All"
"0x4f8b5b510325c823c7ebdc879620a7642d0a4530e8f94f1e640371289c67e653","19807012","1714949783","2024-05-05 22:56:23","0x5036993648f9dfa2cdcd26d6b1a3c1a4904fc579","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.002310160295005056","7.82594018235783","3137.09","","","Redeem All"
"0x53662b8e016e3b308479e9e14ee448a06ae69bfcd456650db0ed4b629e7e3ae8","19811998","1715010083","2024-05-06 15:41:23","0x1ebb814c9ef016e6012be299ed834f1ddced1529","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.003570852418454895","12.0966832852586","3063.19","","","Redeem All"
"0x74c314e3b3e26d964da689fa23c32be17007f2b3a669e39a2b7d8c9246bbd97e","19848428","1715450303","2024-05-11 17:58:23","0x480ed9f1367ededabbaa1882292a7915201c6a11","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.00112348380379857","3.80593375420133","2911.82","","","Redeem All"
"0xd7c2d0dc947b434320281fe23fd037b5510bb79095d0c012f5145baf7bd25316","19848677","1715453291","2024-05-11 18:48:11","0x57c41131600af2d0ea74d7a7ffab385063b89267","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.00111246421971685","3.76860361479739","2911.82","","","Redeem All"
"0xa51ce4d3ae362ebf20ba7b2dfdc25fe20cf8a821ad34d2bfb369007c8d4673b4","19860436","1715595347","2024-05-13 10:15:47","0x76cc0b76b3704b34a6441c33eda85210fb3d4d30","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.001802732546516764","6.1069688992291","2950.16","","","Redeem All"
"0xa62630333456dcdc507fb13f09079efe4795b86f8ac3bf25bb2b6fea99a13a29","19865932","1715661707","2024-05-14 04:41:47","0x2c99d50eb4daa1d26b5ba0b1daab58cbfc0ac3e6","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.001210846197339163","4.10188415535511","2880.64","","","Redeem All"
"0x4ca62b9503892f69fdf36c10e96bca98c5bc1f998013aacc60b06424ffca47b8","19894744","1716010019","2024-05-18 05:26:59","0xf6269288e33a457ca8f2f3592f926ccfafbb89ea","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.001379209029137038","4.67223308457505","3123.72","","","Redeem All"
"0x8757925196196e8594b94f8804334556a9294eb468cf3fb805869371ebe991a0","19904850","1716132191","2024-05-19 15:23:11","0x231a19c04c6b314a395c915ffcf5d49e1e95cc34","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.00153269216862734","5.1921753029781","3070.68","","","Redeem All"
"0xfa752e60f744103b7f4e0dde1b632eeeb9b0825ac09446896399ebd815acf863","19933043","1716472859","2024-05-23 14:00:59","0x4419a5c28b472dd89e9da027c7e9456e76d0fb25","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.01079770813729748","36.578508500798","3781.61","","","Redeem All"
"0x7ab65e00bcaf80ec3cdc56512d3df0d4b87c8d57e7ae1461c22c64b46ff57ef2","20066846","1718087915","2024-06-11 06:38:35","0xe9a75f81a34a5d1c39fb1ebb8dfc7904cc104b8e","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.002491850364283184","8.44143669875691","3497.32","","","Redeem All"
"0xf81c8be5ffa0d5cd45dd81d2436d65864d936319146a81a5a9a99cff09d8c940","20068626","1718109407","2024-06-11 12:36:47","0xba2c03e775814b40bb8340cfda1185ec01fb9725","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.00354467129527525","12.0079916458283","3497.32","","","Redeem All"
"0xd74dec0ca4534bb2e90c1b9567c07bda51229323e034af214a8266e0dadd9b62","20120920","1718741207","2024-06-18 20:06:47","0xe5ebcde141e98c23c150bc350b72c23fdcb747c1","0x38c8a4d93757d3d2e0110cfb5f18b9cc293e0fda","","0","0","0","0.002887256106404747","9.78092023688836","3482.27","","","Redeem All"
