"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3387.72714478009/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x80935154a4559ad143575f5f8a8848d521d264210b597e59cd31d35b9fede2e2","9513013","1582106837","2020-02-19 10:07:17","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","","0x48d7f315fedcad332f68aafa017c7c158bc54760","0","0","0","0.009016712","30.5461599990644","258.72","","","0x60806040"
"0x97e578761f952ca77788d9d48d5954723711bff7e0adb6f18409f953e8b6f8ca","9513335","1582111217","2020-02-19 11:20:17","0x257f6c24c4bbfed2196e3c1b98eea6d5494d83bf","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000531","1.79888311387823","258.72","","","Stake"
"0x09c540cc6acb099e4cdafeef0c97154be03520938b3ad8e73a956572bb81f04d","9513381","1582111747","2020-02-19 11:29:07","0x9ddd076e9073732eb024195eb944e7ec7149baf6","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.0002693792","0.912583228079145","258.72","","","Stake"
"0xb9fa5af91f6f4fc86b2693aef5b27448cc62bc79f759a6beed15a97adee23a1f","9513409","1582112177","2020-02-19 11:36:17","0xa2dcb52f5cf34a84a2ebfb7d937f7051ae4c697b","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00016841","0.570527128452415","258.72","","","Stake"
"0x1d699160a9a28ce7701feb23f0507933da492763f718751ce30afd2803605dd8","9513418","1582112315","2020-02-19 11:38:35","0xde7670354fe2110fbf3a2ca269096647fc955924","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000421025","1.42631782113104","258.72","","","Stake"
"0xcdb0afd189128dcd26faef9cdfe9a0b74be56ffd0a138e89bef7d47a39608e4f","9513419","1582112326","2020-02-19 11:38:46","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000348016","1.17898325001779","258.72","","","Set Reward Distribution"
"0x25ec4dbd8bd2cc07e6075f3e83a40e8e8a57f599d382c412ebabc59f88377e9a","9513420","1582112376","2020-02-19 11:39:36","0x9ddd076e9073732eb024195eb944e7ec7149baf6","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000856176","2.90049067590924","258.72","","","Exit"
"0x0658301e1cd69ff812d5dd68ab3a22afbda9ffc6a658924acb91a6ffd91aceff","9513434","1582112558","2020-02-19 11:42:38","0x63c410a066d5d12217b713ccac5f600a06ba45e6","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000421085","1.42652108475972","258.72","","","Stake"
"0x553091676b85690dce7eed7cff6f2c8d0ddfd511783f11f5fc532f7de389bf76","9513436","1582112594","2020-02-19 11:43:14","0x9ddd076e9073732eb024195eb944e7ec7149baf6","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000420905","1.42591129387366","258.72","","","Stake"
"0xfbcbe7534c8b9fa097e49d3517f0b413b7250bd97a665c35a284d1246d20f4dc","9513446","1582112726","2020-02-19 11:45:26","0x215b67d707ced250c3803a19348e9c565e42d7a3","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00033682","1.14105425690483","258.72","","","Stake"
"0x7bb69144fe6f15af87c079e0fa70d761c5821dcae0d27d08362181f43b8e5b7b","9513470","1582112927","2020-02-19 11:48:47","0x03c322db3f0d92ccdf6f8b6effd4031c94bed1ab","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000119046","0.403295365677491","258.72","","","Stake"
"0x1134167a972f34dfd47f7e7585e759015bc7bb6c55137e92ab4a678c5cb9499f","9513477","1582113007","2020-02-19 11:50:07","0x03c322db3f0d92ccdf6f8b6effd4031c94bed1ab","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.0000831072","0.281544517366668","258.72","","","Stake"
"0xb61f5ee916df0f6e7fd28a5ba3b18109f19c77defcd2ffc52fc710c2a0c97315","9513514","1582113350","2020-02-19 11:55:50","0xb7ec8904f6105cf6943dee7b1aa04b9a33708c76","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000084205","0.285263564226207","258.72","","","Stake"
"0xb55426639c56d436a491b6fc614b82cdb0cf9dc4c7b558fb3df0ffb7c9e526d7","9513527","1582113546","2020-02-19 11:59:06","0xe92c9ed9e227364de07ac4f0a2f929a0374d6f9d","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00016841","0.570527128452415","258.72","","","Stake"
"0xd9bdda099f6f6c647e0f4e215befb15a52907d6a1860803b39dad46286658eb8","9513530","1582113573","2020-02-19 11:59:33","0xe18026b8d3ed02ced8368d2aa6376133f8442403","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000084205","0.285263564226207","258.72","","","Stake"
"0x67ace50638ec80c0bda58dbde4bba768f2a8fe101c2b675d09bbbf8fe02e059d","9513545","1582113716","2020-02-19 12:01:56","0x83aef2a3bda741114ec8cef95245b19ba595a645","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000198386","0.672077637344343","258.72","","","Stake"
"0xfe39823b4bfa2351cebf6978dcc1848f2fcad8c2ba16f543980dc3cd034b6f73","9513572","1582114011","2020-02-19 12:06:51","0x4b9ce35248daa18fa6e29cb8a0b3d8debcfda922","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00016841","0.570527128452415","258.72","","","Stake"
"0x98c21ed03c4bbe2f1e724e9b7c0ee4cf4eb93bbbddc82007f2ecda9ab89eebbb","9513591","1582114368","2020-02-19 12:12:48","0xdf4be75f9c675ef83357b18d2dd8d0d69cb1e91c","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00019841","0.672158942795818","258.72","","","Stake"
"0xc200fe1d009035ea651f24d13a408d82a8601cfe56ecfb6b045872a877604261","9513591","1582114368","2020-02-19 12:12:48","0xe9883b15b321f3f381e9fafd1277a98e1e5d86f7","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.0000926387","0.313834638647139","258.72","","","Stake"
"0x7747645b6ca80d613a96fb7ed83d2ee36e4ccfce31e39963343be8a1a2583e64","9513602","1582114541","2020-02-19 12:15:41","0xe272a25b3b30a6c76ab15224f24eaaeed24abed9","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00016841","0.570527128452415","258.72","","","Stake"
"0x0367e67c14092ec755ae0698b4f22845e75616762d552baa9bf20d939fa6e5a5","9513646","1582115192","2020-02-19 12:26:32","0xbbc818f10b2bd5d4ae1a8e3717f6324acee6ec1f","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.0000842134205","0.28529209058263","258.72","","","Stake"
"0x09a3c888ce4d485866b379ee09b15d49e34738023d109c6d5954ae55eaf31ff8","9513648","1582115210","2020-02-19 12:26:50","0xd35a527bdff56fa4ee055fc78855f6b398d2a7a0","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.00059523","2.01647682838745","258.72","","","Stake"
"0x3b1e440a2a0ec98ed27b733ba2b74cb631aea34761133a4e59a171d5bb00653b","9513667","1582115433","2020-02-19 12:30:33","0xe4c5557a1f859874d5e124747ef5881a449f9712","0x48d7f315fedcad332f68aafa017c7c158bc54760","","0","0","0","0.000168434","0.57060843390389","258.72","","","Stake"
