"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3397.17356123877/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x7ef797823d3a8ee32c9e62e26560e38d75ad167d67ec74e6f815c17227cbc514","5997885","1532087606","2018-07-20 11:53:26","0xa97bc5dd7b32003398645edeb2178c91087f86d8","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","","0.25","0","849.293390309693","0.000147","0.499384513502099","448.84","","","Transfer"
"0x2be6b1a97fe99ed3b8d45862a548dcc19f3894a9a8948d15b96bd2a3fc402455","5997926","1532088283","2018-07-20 12:04:43","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00072486","2.46247522759954","448.84","Error(0)","Reverted","Issue Max Nomins"
"0xf6e63dd26db01c269f99e14f310f4a6b048d97646aeb2a38edb21cf1a4bda01a","5997946","1532088670","2018-07-20 12:11:10","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.001485963","5.04807421657905","448.84","Error(0)","Reverted","Issue Max Nomins"
"0xa3304a461a1ce9cd8619724cc992fd97a8e7b16311547589bbf596fbad7bb50e","5997975","1532089143","2018-07-20 12:19:03","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00134556","4.57110085706044","448.84","Error(0)","Reverted","Issue Nomins"
"0x0686390bb42bcb1b66d2a438aa5be58edd7a23e0919a9761a5e96a8ac51e2528","6044097","1532764842","2018-07-28 08:00:42","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0x10ccf4a4dbd3ebc1e9001fba850f1478d3e98353","","0","200","679434.712247754","0.000042","0.142681289572028","468.55","","","Transfer"
"0x11ce1bb4fb2debcf9431d08213fb146398a61fe902c4910933b350b5024431df","6061124","1533011032","2018-07-31 04:23:52","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","","0","1","3397.17356123877","0.000063","0.214021934358043","431.99","","","Transfer"
"0xb30a9e0abc4ff606c5ab072dc77805c7aa71ac2860ab7ffbc528fc2a112e76ae","6073444","1533191189","2018-08-02 06:26:29","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00196714","6.68271599925523","410.83","Error(0)","Out of gas","Issue Max Nomins"
"0x9e5d4138e8791e9f6ef81c1e5ab1ab0c259879610b931f141c6d383291fad5ec","6073459","1533191441","2018-08-02 06:30:41","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00346992","11.7879204836136","410.83","","","Issue Max Nomins"
"0x76578f09a7c990fba2667acd0a70a06ccdfe26ba21c44d38a014d8dca49d6f97","6102159","1533610010","2018-08-07 02:46:50","0xb10c85274d2a58ddec72c1d826e75256ff93dead","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","","4.486161497897252074","0","15240.2692321039","0.00021","0.713406447860142","377.94","","","Transfer"
"0xe1a1baeac2ef265ce8b7fcabae85180eb0abf7f1e3b7b8de761af02282d6f6cd","6126051","1533958527","2018-08-11 03:35:27","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xd37244b8ec4ebca223318f3eee70866219b94fe6","","0","500","1698586.78061939","0.00063","2.14021934358043","318.01","","","Transfer"
"0x824daf0c4553b42d0986b5143b4c283736c4c63262e166368867fcf1cde62861","6370580","1537505865","2018-09-21 04:57:45","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.001208753","4.10634373366805","247.69","","","Transfer"
"0x11e2ace9f396fc2fc877a7b1be581bed9e9a8d78d599b455199faa4d8d3ef1fa","6370624","1537506558","2018-09-21 05:09:18","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.001208753","4.10634373366805","247.69","","","Transfer"
"0xfd03e6d28012b29657894198b4516c6b9b1926ab52e7ae6d64ed94cb136fcdf8","6387883","1537751417","2018-09-24 01:10:17","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.003809597","12.9418622073745","227.92","","","Transfer"
"0x61f39e06295c0fda46e1d7c5e5ba9b4747e68924c6ba6994af0b41b71d7b948c","6550733","1540045452","2018-10-20 14:24:12","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.001766639","6.0015793030533","205.08","","","Transfer"
"0xaadd1b3b13218c6b35f0b330db7b80f428f1c55931731173ed8539930dba11f0","6822224","1543893645","2018-12-04 03:20:45","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.002231984","7.58243703390795","109.82","","","Burn Nomins"
"0xdaa6cc79647b08cc9774996784bb9f28bfacb5128cd6785693a5d37b292140a2","7190497","1549584998","2019-02-08 00:16:38","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xac1ed4fabbd5204e02950d68b6fc8c446ac95362","","0","10","33971.7356123877","0.00063","2.14021934358043","119.49","","","Transfer"
"0x55e53d823c7400453b3b13e9586bbdd8bd598d5e2033ff7f8f54d0ab8afd5af5","7280738","1551396308","2019-02-28 23:25:08","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.001003435","3.40884285242163","136.29","","","Exchange"
"0xe69973c81bf482a6e38f06e36242f2b643f2d32ad0efc68c5d028cad9fe9ed7e","7305700","1551739843","2019-03-04 22:50:43","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00092431","3.14004149438861","126.43","","","Exchange"
"0x7eafca84b6c0074496a12460d634cfd840a01edeaa10c896d54ab1c4f5c2a100","7305710","1551739964","2019-03-04 22:52:44","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.005412095","18.3858260449125","126.43","","","Burn Synths"
"0xb91c156436b101cfa1baf80395f41cff868c2d04606fd872e67ac5b394b9bfae","7354115","1552391650","2019-03-12 11:54:10","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.010198398","34.6457280525904","134.37","","","Issue Max Synths"
"0xdd3028b631275e3d9664e93947560855f9ed906551b111758bff7031bb8cc02a","7538142","1554870191","2019-04-10 04:23:11","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.004374288","14.860215542844","177.39","","","Issue Max Synths"
"0xf4de1e3532a2f5db95ae9fd09dcdd475bbde4ae1f29e479a639422edfd02b8fc","7661962","1556535584","2019-04-29 10:59:44","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.004067202","13.8169911026174","156.69","","","Issue Synths"
"0xb3e86e349a1a3ae043868c855eb6c1ffbab1ab98de2b8a570ac9ae253a63c142","7716464","1557269561","2019-05-07 22:52:41","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.0036768822186091","12.4910070608478","168.59","","","Claim Fees"
"0x1022ca21ba5d31c56629e93300149243e28bd6616541bd0dc12467462bfaec37","7716484","1557269867","2019-05-07 22:57:47","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.007262672","24.6725573023491","168.59","","","Issue Max Synths"
"0xdbbcaa56d51e0d38c6698a280fa2bdefecf9e8c6b86bfc2dc457337964db1bea","7760799","1557867926","2019-05-14 21:05:26","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.001098182","3.73071485582832","217.16","","","Claim Fees"
"0x69c44b0aa3092851e2a9f48a0a89a998d5aac65891989e0baa443a669b56036a","7760892","1557869277","2019-05-14 21:27:57","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.003804866","12.9257901792563","217.16","","","Issue Max Synths"
"0xb63b1595851394737b46fa9f8e3c4bd10f39bada5141633af190562759ca7be7","7805585","1558473643","2019-05-21 21:20:43","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.002193452","7.4515371422463","254.94","Error(0)","Out of gas","Claim Fees"
"0xe1ef752db9510f049b25c55462d3f396b26517f99aea81e5ad47c469423f7fbd","7805595","1558473753","2019-05-21 21:22:33","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.002193556","7.45189044829667","254.94","","","Claim Fees"
"0x6e16a07b451a2de1bfc04617bba1fa26b804da0925ff016ded9ba91e66f736cc","7805611","1558474019","2019-05-21 21:26:59","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0005105232","1.73433591743901","254.94","Error(0)","Reverted","Issue Synths"
"0x0798baa11c0b1c24df2714829fdaafdcf5b7bb10d47489779b30766f5ebbfdc4","7805624","1558474256","2019-05-21 21:30:56","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.0016189624","5.49989626191967","254.94","","","Issue Synths"
"0xe8105e10bcae92cfd3f480bf4cda261c9afdbba024744aab1f1f9528f09d755a","7852642","1559108122","2019-05-29 05:35:22","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.006691536","22.7323091832774","269.60","","","Claim Fees"
"0xae614bce5d8e22162b03de907c689046da77f60a37a29c76d4d5ef110d07937f","7852901","1559111543","2019-05-29 06:32:23","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.01290968","43.8564235800529","269.60","","","Claim Fees"
"0xc83be71892c94e6eca6416f05239e1f8e19b4592f43395759e4b428b2c86782f","7853587","1559120600","2019-05-29 09:03:20","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.031124586","105.735620663702","269.60","","","Issue Max Synths"
"0x2ce852de1390b40713fcee0329e9124930af3b7d7c7b3c72f962f04fa6421162","7858552","1559186708","2019-05-30 03:25:08","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0x57ab1e02fee23774580c119740129eac7081e9d3","","0","0","0","0.001153596","3.9189658315508","254.45","","","Transfer"
"0xb736204223f98950a8cdbfd4575b2af0c1268583494c5110c299fb638815fea0","7896806","1559704696","2019-06-05 03:18:16","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.007820778","26.5685402499178","246.16","","","Claim Fees"
"0x4f34ad2cb4e94b039f818ed34c63e98ac78b81eb35295c5c8005a1b017bc1298","7896811","1559704772","2019-06-05 03:19:32","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.005708031","19.3911719999313","246.16","","","Issue Max Synths"
"0xca9d6a04bbf8180cacb496ea81a053569b520bd8a6fc19bdb3786bdf03df79d5","7941602","1560310738","2019-06-12 03:38:58","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.004551876","15.4635128012373","263.05","","","Claim Fees"
"0x94c4871d2c75ccb8bcebcb7b738eac4c16c0fa84eba38c3670d60a9ac028da5e","7941690","1560311987","2019-06-12 03:59:47","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.007610852","25.8553851929012","263.05","","","Issue Max Synths"
"0x80a29601a47f921a4443f27812bd51a9108b2378ba5ac1b92aeeadcc4d2f9f37","8031402","1561522465","2019-06-26 04:14:25","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.0062705005","21.3019785143345","333.76","","","Claim Fees"
"0x8851b5d28c9dbaabe27ccc1e97f3efc6f15c3f10067e473591e1df2adc050bf6","8058950","1561893522","2019-06-30 11:18:42","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000632445","2.14852543293765","290.15","","","Exchange"
"0xdf66db460d44a59d09f602bb4db0da88c5700ebcae037cf0c1696784ed0276de","8115975","1562660959","2019-07-09 08:29:19","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00117276","3.98406926567838","307.89","","","Exchange"
"0x063555ffb29dbc5d6ce601bdcdb8eb26e8f20b5839690a40c047550035b7fbcb","8115984","1562661075","2019-07-09 08:31:15","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.009753954","33.1358746463391","307.89","","","Burn Synths"
"0x37811ba54a7fa1374f366d1b6c21a63ecde869127a8b899348c09be221eb7c65","8115998","1562661243","2019-07-09 08:34:03","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.003752316459375","12.7472702691898","307.89","","","Claim Fees"
"0xb3cf5798fa80722f1196b2b4ee5f82db18ae624637eec36ef2a554428f6f4d8a","8143159","1563027412","2019-07-13 14:16:52","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.000181432","0.616355993562673","268.94","","","Exchange"
"0x602f9ec129f6d6846091550b53fd8d38501c3ddbfcabd8baa39eb482746c8758","8212025","1563953240","2019-07-24 07:27:20","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00361458","12.2793556109824","216.66","","","Exchange"
"0x3e78721b11e1eb1e19613693756d623ebe3b67e4145f0011eefbd6c996b4877f","8212049","1563953404","2019-07-24 07:30:04","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.03378364","114.768888610409","216.66","","","Burn Synths"
"0x03fbd6ac671c7d4e3cfeb9ace02d7cee1274371ce503c794d33d1002ed6800a6","8212057","1563953499","2019-07-24 07:31:39","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xb440dd674e1243644791a4adfe3a2abb0a92d309","","0","0","0","0.011476465","38.9875434744821","216.66","","","Claim Fees"
"0xa918b3e7318faba30d1e417b5d47714e65761491e60f8a558deef69321aa55d5","8244356","1564387374","2019-07-29 08:02:54","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.00108852","3.69789136487963","211.52","","","Exchange"
"0xd25dbe8eea78e082d1b72ea774f7363dbf0a2c0b1d38b5b212a37d33e5e82f24","8256822","1564554745","2019-07-31 06:32:25","0x49be88f0fcc3a8393a59d3688480d7d253c37d2a","0xc011a72400e58ecd99ee497cf89e3775d4bd732f","","0","0","0","0.001729564","5.87562909327037","218.70","","","Issue Max Synths"
