"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3389.18566532882/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x4e628023d059a6811addf1cf4f6377fe258ce669aef5c1b392ba04553b403f44","12425679","1620904154","2021-05-13 11:09:14","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","0","0","0","0.1898326","643.3779267321","3718.99","","","0x60806040"
"0xca3319be6ef5d5cfb24caed28a4ae5cdec25c510b3af95e49d93d4d5a94d57f3","12426357","1620913471","2021-05-13 13:44:31","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0","0","0","0.009414","31.9057938534055","3718.99","","","Nominate New Owner"
"0x4602c526f6e7602af0e91719e96bcd073256e18acc1aea8e0fa03bfb578d4e54","12426507","1620915325","2021-05-13 14:15:25","0xac63b3a69604925dadf2abd13877d7a4a7113308","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","1","0","3389.18566532882","0.0457149","154.93628377194","3718.99","","","Mint"
"0xd2d19cc65e3cdffe9d84947a21b647e8440a743fdea33c17fc1635debffd9d64","12426541","1620915790","2021-05-13 14:23:10","0xac63b3a69604925dadf2abd13877d7a4a7113308","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0","0","0","0.03729285","126.392392639258","3718.99","","","Burn"
"0x27f0646164b85b89b65a10778502a6ebcde8befbdee96dde3c763ce22c56968f","12427061","1620922815","2021-05-13 16:20:15","0x5789527ec57ff76286e42673e7b97e692b13f6d0","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","10","0","33891.8566532882","0.0361389","122.481441840752","3718.99","","","Mint"
"0x94aa8a6793f8aaaed498b08473cdc981cdf125907bcd2728da831a821e580f97","12435628","1621036227","2021-05-14 23:50:27","0x95a3ede66bfbe067e6ca2c92cc459bc41935c03f","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0.01912308","0","64.8116686129363","0.00225128","7.63000590464147","4087.02","","","Transfer"
"0x9a3881f90cffa430bfc15c9ef1025d542829cf0480b26fa1b54498ddc46f0545","12453250","1621271749","2021-05-17 17:15:49","0xf1228c34651348f12d05d138896dc6d2e946f970","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","1","0","3389.18566532882","0.02651385","89.8603603526785","3280.73","","","Mint"
"0x20f88575aec1541edb10109e76e8f9f861cb59a7773dabb4eb1427042390d9ca","12477279","1621594391","2021-05-21 10:53:11","0xbd015d82a36c9a05108ebc5fee12672f24da0cf4","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0.01","0","33.8918566532882","0.010422200778590325","35.3227734799772","2435.86","","","Mint"
"0x7095c05e27f8250992136955918b00b1fcef86c1a168d05bf1dae88be4b48568","12507709","1622002036","2021-05-26 04:07:16","0x9b3cf78e614a61c916a3dbf44a88c5780c3496f6","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","15","0","50837.7849799323","0.009757503395204685","33.069990636425","2888.94","","","Mint"
"0x341ce59226059e0b241a642827e2a7d7dcfa6e7005f171c3e5bfbbd6b78b0472","12553082","1622610677","2021-06-02 05:11:17","0xb082ddfd74748b763f52f04558e5f814a56de67a","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","6","0","20335.1139919729","0.004388295","14.8727465092341","2706.52","","","Mint"
"0x4747ee10e560c84757dad0f6c7da5ece06b5964f0b31b2614be8be4a522d24f8","12557244","1622665355","2021-06-02 20:22:35","0xe0516c41579994f31fa46a977f99497d145f9e6d","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0","0","0","0.007348792","24.9064205038831","2706.52","","","Burn"
"0x36acee92416952946980fd5addc4e15eb5911cbc46c41d00357e280ca52d00d5","12557480","1622668519","2021-06-02 21:15:19","0xb082ddfd74748b763f52f04558e5f814a56de67a","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","25.0126","0","84772.3453726036","0.00530277","17.9720720705357","2706.52","","","Mint"
"0x59641404a2ca7ce46f2cb8b6657324de7348122e1b360f744dfe8029782f583d","12559134","1622690904","2021-06-03 03:28:24","0xb082ddfd74748b763f52f04558e5f814a56de67a","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","29.580165","0","100252.671196061","0.0048207","16.3382473368506","2856.01","","","Mint"
"0x596f74baf834965309f1e42540efc5f1a615078bd56b0b1a0901aa9ffd8472b3","12581545","1622990325","2021-06-06 14:38:45","0xe0516c41579994f31fa46a977f99497d145f9e6d","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0","0","0","0.004602996","15.6004080607659","2710.99","","","Burn"
"0x7fb6ff6d4b66153546859d95e3036e47663f1ea10abbe7bb8e1492c272063a12","12731473","1625004178","2021-06-29 22:02:58","0xcb2f1abbb5f249e0272a4b369d757a6d09349b10","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0.01","0","33.8918566532882","0.0013126782","4.44891013862964","2165.61","Error(0)","Out of gas","Mint"
"0x4d1712ee7880118c1e318b78d6b281f4be7d17cf0127776948e9442ee6174795","12731491","1625004392","2021-06-29 22:06:32","0xcb2f1abbb5f249e0272a4b369d757a6d09349b10","0x7a3d898b717e50a96fd8b232e9d15f0a547a7eeb","","0.01","0","33.8918566532882","0.0032528468","11.0245017460707","2165.61","Error(0)","Reverted","Mint"
