"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3389.59183077181/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xdf237457e74ec0d00c9a2fe6d603b0f6967cacae8517dcc1ae58be076ecba14b","8623078","1569481458","2019-09-26 07:04:18","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","0","0","0","0.03517911","119.242823869823","166.06","","","0x60806040"
"0x60ffcfb17470b95706e3ac4779e54d995d5f6ab77102fcdcc516c2698755ae7b","8623085","1569481555","2019-09-26 07:05:55","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.00134202","4.54890002873238","166.06","","","Set Target"
"0x8e2836ed9722447145106c8356eaac164f54e93da4a61b9d7dbb1a29570d29a2","8623530","1569487684","2019-09-26 08:48:04","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.0008965002","3.03876975420529","166.06","","","Nominate New Owner"
"0x202fc75f850edb9efea21ec655fa9b3320a69981123e3669afc6c3e52b941900","8672874","1570154599","2019-10-04 02:03:19","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.000115482","0.39143684380119","176.21","","","Accept Ownership"
"0xe63b1d7265cf2b610131f70086d6ccb0c1a546b819b6defad3319cf8ecb3a6ea","8887230","1573090326","2019-11-07 01:32:06","0xff19ad332cc5bb32703a3058c6f93ce177cfbb08","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.0003946815","1.33780918815676","186.54","","","Transfer"
"0xfe4c63010bb4c57a943566fa2ab8eefb57a72daefcba63faf39bb154999192c9","9060286","1575632552","2019-12-06 11:42:32","0x4d37f28d2db99e8d35a6c725a5f1749a085850a3","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.000688292","2.33302894038559","149.06","","","Approve"
"0x1eb2b6024d30f46d843739bde6c28666b10dc202ef983852a47eda9f162c2729","9123745","1576640645","2019-12-18 03:44:05","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.000237488","0.804987384706336","133.07","","","Set Target"
"0x303ea09b9e5e0fc766fba55f5db160201c54d25c2b9fc3fd1f197245d1189b16","9519093","1582187999","2020-02-20 08:39:59","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.000178116","0.603740538529752","257.70","","","Set Target"
"0xe2ea2f5ed44fa80038de3bdc7b229f35985a2436aada681dfc1654bdae733a1e","9595372","1583200904","2020-03-03 02:01:44","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.000089108","0.302039748856414","223.77","","","Nominate New Owner"
"0x446413c6a639f636aad427a73e214b0ecc84ce19395312004aad0c2dba14898c","10591937","1596526229","2020-08-04 07:30:29","0xdd52610f002307fcc72691ddefec054942bf27c3","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.009778056","33.1436187384293","389.79","","","Transfer"
"0x74f5723b078149ab76fca8092874ce744d3b86d7f62dfee598e4ed75a859df61","10625203","1596969077","2020-08-09 10:31:17","0xb67cff0ed07a50f690638731dce80bc4fe312c83","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.005153864","17.4694953113089","390.28","","","Approve"
"0x7bcfd84c64999f95858e2a30292eeb7ed443bd0baf051a8a2a03ac690085372b","10625225","1596969392","2020-08-09 10:36:32","0xfc7f623bc12dbeb984a9d618e9b07693ff35283f","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.005153864","17.4694953113089","390.28","","","Approve"
"0x8b8507d7a3a48fdb8950ef0216a0eb75ce29cd896b09bc7be6b7345661534df0","10625226","1596969393","2020-08-09 10:36:33","0xa7e3058e7c4eb1b18a4c18c69983daa8d724bd28","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.005967632","20.2278366762524","390.28","","","Approve"
"0x1cd4a0a4c6556141732ec4e9f90c007cde09343225687bec32dc570f41c6813c","10625228","1596969426","2020-08-09 10:37:06","0x248535910a53b798ed5961396a1b007275728319","0x97fe22e7341a0cd8db6f6c021a24dc8f4dad855f","","0","0","0","0.005153864","17.4694953113089","390.28","","","Approve"
