"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3386.7237948562/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xcac2d9311b429ff942b8a259d49ef46e1f90caf035513eb382f1b865c1f48d78","12425675","1620904102","2021-05-13 11:08:22","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","","0xc1aae9d18bbe386b102435a8632c8063d31e747c","0","0","0","0.398301","1348.93547421502","3718.99","","","0x60806040"
"0xc2972fcdc5be939b7368b1490d18e999ead4fea3c0646633cdec41a79e93341a","12425721","1620904694","2021-05-13 11:18:14","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.00964923","32.6792768430403","3718.99","","","Set Paused"
"0x47b0087e95cbbb071abd9e65b4074b2201432a8c0b3370a9b964ed3845a719b6","12426356","1620913444","2021-05-13 13:44:04","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.009423","31.91309831893","3718.99","","","Nominate New Owner"
"0x246fd675af1ce18aa256b31dca11d63b4829a7394a0b3854acf7238f38ded519","12426461","1620914751","2021-05-13 14:05:51","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.00510697","17.2958968186168","3718.99","","","Set Paused"
"0x7831fe5a754f91cef882f0bb61859c1bffbfc6e28289e25c934a915882410e7f","12426810","1620919486","2021-05-13 15:24:46","0xfaa8772c54af7fed5663befd49a93d0e969ef6c5","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.02537239052","85.9292787064679","3718.99","","","Mint"
"0x2f103e96d6a9d2a3fc6c4a9dbb77b669c708d4bafc4a6855c55e2d12eee4f8b6","12476469","1621583726","2021-05-21 07:55:26","0xb082ddfd74748b763f52f04558e5f814a56de67a","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.006348391","21.5002468587509","2435.86","","","Mint"
"0x6a5853d9ea7063c07d7dc0baf417a91e4293d02ff52b524207fe596a2fa66dd7","12476632","1621585797","2021-05-21 08:29:57","0xb082ddfd74748b763f52f04558e5f814a56de67a","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.009719483","32.9172043498003","2435.86","","","Mint"
"0x8a91ea4d2faff348e8e9fc43c833a989233d8b4c45ec202eab8c83fb20361dde","12477143","1621592484","2021-05-21 10:21:24","0xc803698a4be31f0b9035b6eba17623698f3e2f82","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.008400975","28.4517819324921","2435.86","","","Mint"
"0xff4e90844945eb5b73c896b903fcaf9d87ea4cfe5abc5c9013aaa40e709349d8","12477968","1621604140","2021-05-21 13:35:40","0xc803698a4be31f0b9035b6eba17623698f3e2f82","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.012354375","41.8408557830766","2435.86","","","Mint"
"0x1323082fc43a28f09dc3783acc04920ece4041121f361e204385b5a7c937cb6a","12478113","1621606322","2021-05-21 14:12:02","0xc803698a4be31f0b9035b6eba17623698f3e2f82","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.0138369","46.8617584770458","2435.86","","","Mint"
"0xb545be91f37f3061980c316ff1da2fa845ec7458a6031bfe4347a32db61bf0c6","12482334","1621662395","2021-05-22 05:46:35","0x0b75838dd380d1f7bd22372d9d2b2b2c604b6f2c","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.01365872","46.2583120312783","2297.03","","","Mint"
"0xbba4946913765d948d955526d4462f97066c1eb75a1c3e3a0bfdec60823ab5ce","12530506","1622307700","2021-05-29 17:01:40","0x0b75838dd380d1f7bd22372d9d2b2b2c604b6f2c","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.00731709","24.7809628121044","2278.58","","","Mint"
"0x669798919b9d446952d4606411c605ca010f155f836c9716d5b199c4eb98d4b4","12553547","1622617178","2021-06-02 06:59:38","0x82f9ea8d814a6eb335cfe17500cdcbb69c7ebbfe","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.0033874438","11.4723365211981","2706.52","","","Mint"
"0xc9d32b8442a93d025b28e6f944399eec6e3c96b14aa0b66cf3060b7874268ab3","12731436","1625003626","2021-06-29 21:53:46","0xcb2f1abbb5f249e0272a4b369d757a6d09349b10","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.00063038","2.13492294580145","2165.61","Error(0)","Reverted","Mint"
"0x3d2e08690a43a84557c6bef6a360bdaf32dfe4e64195b0ce2f93e963f83f62ce","15101109","1657272839","2022-07-08 09:33:59","0xcfdf6aaae9f6b927e3736fbd327853b622c5060e","0xc1aae9d18bbe386b102435a8632c8063d31e747c","","0","0","0","0.001513503360155244","5.12581784343258","1214.00","","","Rebuild Cache"
