"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3391.30511179136/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x9699453ec420d7b455dc7563e1fd2cfa89713ef0f52e83e8c4e2ff8eadfba492","8623054","1569481162","2019-09-26 06:59:22","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","","0xf48e200eaf9906362bb1442fca31e0835773b8b4","0","0","0","0.03517911","119.303095571271","166.06","","","0x60806040"
"0x45fd7f142867243c5857a0c4657d4bf03613906b1ba7361c72c410bf392a343c","8623072","1569481399","2019-09-26 07:03:19","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.00134202","4.55119928612624","166.06","","","Set Target"
"0x00f1593a9f780f0332107c56623b4d61e6918963c17878157b4f43e606fb590a","8623526","1569487575","2019-09-26 08:46:15","0xb64ff7a4a33acdf48d97dab0d764afd0f6176882","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.0008965002","3.04030571098198","166.06","","","Nominate New Owner"
"0xa8ef9a11b25338fec34d1ae8d920a5063acd69e09267a6175bc71716660c6035","8672849","1570154177","2019-10-04 01:56:17","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000115482","0.39163469691989","176.21","","","Accept Ownership"
"0x097d9f88ca1a9dfe09a35e854771059aead81a6e4fbe8ba81fd6585b937321d1","9060276","1575632309","2019-12-06 11:38:29","0x4d37f28d2db99e8d35a6c725a5f1749a085850a3","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000687324","2.33092539465688","149.06","","","Approve"
"0x2c7166513b73ba826a76988e6fb0964448d2a307cec4934d9c0678819aa7c0eb","9123741","1576640571","2019-12-18 03:42:51","0xb0a23f40de7f776a4f20153e8995ed3e7d7c8487","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000237488","0.805394268389107","133.07","","","Set Target"
"0x7f028156469711903adfadcfb8d19bc6be347426c95a093a55a58aa78699df1b","9412686","1580774159","2020-02-03 23:55:59","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000198966","0.67475441287268","189.77","","","Transfer"
"0x765bfed727784c410f9cde241b2df5d427c947d78f8db9c091be52c0fd7506f1","9412756","1580775138","2020-02-04 00:12:18","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.00065283","2.21394571613075","188.44","","","Transfer"
"0x715a2e28aa73ab3014c4e2cb4956b5c03422b349dd0aa5c65f0543757abc73e8","9413633","1580787067","2020-02-04 03:31:07","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.0001436226","0.487068057548766","188.44","","","Transfer"
"0x1b0cc594a0dcc926b0ffcbf23e86a5d989b12d407bd7dec2ab7c8e49b37992af","9413834","1580789599","2020-02-04 04:13:19","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000130566","0.442789143226151","188.44","","","Transfer"
"0x0194f84aea16f44bf77bcff51956168523162c70308c2f40ed2ad9175e55518e","9413834","1580789599","2020-02-04 04:13:19","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.00034633","1.1745106993667","188.44","Error(0)","Reverted","Transfer"
"0xd4d5b067fc3870a87c1f42bebb62abe09c323202e2beb0426ab1d388ccb97655","9413844","1580789755","2020-02-04 04:15:55","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.00034621","1.17410374275329","188.44","Error(0)","Reverted","Transfer"
"0x545c507bbbb3eb55fd56d185c3a66ab0f835b6b61f3312f454d5097708be413f","9413857","1580789911","2020-02-04 04:18:31","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000380831","1.29151411702862","188.44","Error(0)","Reverted","Transfer"
"0x10e1732d459f139e731c8726b5a3ed0fd412296a8aaf612360c35a2890395343","9413877","1580790154","2020-02-04 04:22:34","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.00065283","2.21394571613075","188.44","","","Transfer"
"0x457535faec5f76633ac603211a2ce311e7a5568d5f7905aa1cb885ccb2c9d64c","9413893","1580790369","2020-02-04 04:26:09","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.00080271","2.72223452628604","188.44","","","Transfer"
"0x324058d882681bc17a3faa775ac28bab5258a3c3672a19717c43ea500dd16e97","9414224","1580794560","2020-02-04 05:36:00","0x36f3f5e3204d1994f7509b2642bf15a872fa9a53","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.0001667592","0.565531327398238","188.44","","","Transfer"
"0xd7c2d651d2d40f918beb98506d8c48b0e48f56a89c5bf3e8000307e3918b45f7","9426794","1580961023","2020-02-06 03:50:23","0x02426aeaa2cd0f9ba0de0360c91a282ca5035161","0xf48e200eaf9906362bb1442fca31e0835773b8b4","","0","0","0","0.000208449","0.706914159247797","212.88","","","Transfer"
