"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3388.69910680958/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x8fa41447c18ee6493f37145f25be9e3eb205f528023b4a8a360897a12db6c265","19384556","1709829719","2024-03-07 16:41:59","0xede8a407913a874dd7e3d5b731afca135d30375e","","0xfad53cc9480634563e8ec71e8e693ffd07981d38","0","0","0","0.289092192465861627","979.646454394689","3874.46","","","0x60806040"
"0xd95faeb1ab7f30912ad0c64f31c821d7ae80ccfcbe25efe8f0a020683813fc5f","19384690","1709831351","2024-03-07 17:09:11","0xede8a407913a874dd7e3d5b731afca135d30375e","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.00567203745124174","19.2208282448134","3874.46","","","Nominate New Owner"
"0xbf406d775933b3e8433c3164015d57cfa0018be157dc33a0eb8a62523c0775de","19416239","1710213155","2024-03-12 03:12:35","0xede8a407913a874dd7e3d5b731afca135d30375e","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.001548746001737112","5.24823419276146","3979.43","","","Nominate New Owner"
"0x306110a9170a87aa5fce51129d0624cf6930fe44d01e013d4ccc743cc1813d52","19421233","1710273467","2024-03-12 19:57:47","0xede8a407913a874dd7e3d5b731afca135d30375e","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.002003815483229076","6.79032773822958","3979.43","","","Set Max Account Merging Window"
"0xf66dba072817c4c380ea9d136dbbf3e857a16a44b20e3bc9c8972c3a1b81b275","19421236","1710273503","2024-03-12 19:58:23","0xede8a407913a874dd7e3d5b731afca135d30375e","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.002262656224712468","7.66746112770028","3979.43","","","Set Account Merging Duration"
"0xa467f293de7682b8c21022102abbaab5547048949f0d31887871ddd4a0d423fa","19421249","1710273659","2024-03-12 20:00:59","0xede8a407913a874dd7e3d5b731afca135d30375e","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.003557214634052057","12.0543300531422","3979.43","","","Start Merging Window"
"0x31965f642eca23281b023bdbb8452749260e2cd780618de9199376eb1ce7be1f","19429599","1710374939","2024-03-14 00:08:59","0xd007058e9b58e74c33c6bf6fbcd38baab813cbb6","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.008689560156960888","29.4463047424615","3880.80","","","Vest"
"0x86e229ce12878d02c3121f3a3c4ff6e76fed195e9daba026917ac524fea7d868","19442757","1710534875","2024-03-15 20:34:35","0x5d0ac389c669d6efe3ba96b9878d8156f180c539","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.015412818938650822","52.2294057708238","3742.44","","","Vest"
"0x872bb6952ecd99de94941919e256ad0f5e100f857e8fb4b86df97f04a851abf7","19446834","1710584531","2024-03-16 10:22:11","0xdb9918673d782a8116f583937f2f4a32352f11a2","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.01078805467236443","36.5574712324543","3520.08","","","Vest"
"0x7badb85492e4f10bce0ee7d0a32d803a0df70607fd89ced04d5a6f2535474c48","19458601","1710727571","2024-03-18 02:06:11","0x193991827e291599a262e7fa7d212ff1ae31d110","0xfad53cc9480634563e8ec71e8e693ffd07981d38","","0","0","0","0.062731156716172575","212.577014733226","3520.31","","","Vest"
