"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3385.51519738798/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x751eb0cc4a5b2f994bcca8368159e4df951f4a0fbe16a5d00c0b9655bad1f0fe","11656247","1610668316","2021-01-14 23:51:56","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","0","0","0","0.33576702","1136.74434899167","1232.11","","","0x60806040"
"0x5a17c74bd7af87784957607d8f5b2df913e865e88518725866c1768972164be0","11656297","1610668918","2021-01-15 00:01:58","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.00314258","10.6392523490075","1169.06","","","Nominate New Owner"
"0x39b3218bb97fca910ba134ad2c3dd453f9bb527877c370a5b17619bc35b622d1","11656580","1610672676","2021-01-15 01:04:36","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.0235891","79.8612565427048","1169.06","","","Add Synths"
"0x3ee0111cb2cfa5ac36d5bd07990b38f4ee39148e7e14a174ba07f07aefe19968","11656586","1610672766","2021-01-15 01:06:06","0xde910777c787903f78c89e7a0bf7f4c435cbb1fe","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.0043808","14.8312649767173","1169.06","","","Set Issue Fee Rate"
"0x4cfd5a6cd46fa14124af6c5f72702f469cc87c332adbf2c7a8f365632c117e96","11657699","1610687896","2021-01-15 05:18:16","0x62f7a1f94aba23ed2dd108f8d23aa3e7d452565b","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.001870596","6.33293118617317","1169.06","Error(0)","Reverted","Open"
"0xf739ff20b5acebb622c15a17c0603a1e024629c8475b9853f475aa10b1f5f7cb","11657714","1610688028","2021-01-15 05:20:28","0x62f7a1f94aba23ed2dd108f8d23aa3e7d452565b","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.056537145","191.407363614428","1169.06","","","Open"
"0xbce63a1cd04f2e3a7f33f9c9329472a6a809e1751c3ce4393abdc0a02e686f6b","11658366","1610696188","2021-01-15 07:36:28","0xe67163ab11d4b39c5616bd84bbdf8efbdf7a5d00","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.052557697596805","177.934883953705","1169.06","","","Open"
"0xfe9bd16085dececd872d79b753a28d7c1dc578ba16740fb0c5faa5655eea213d","11658453","1610697472","2021-01-15 07:57:52","0xe67163ab11d4b39c5616bd84bbdf8efbdf7a5d00","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.04956196","167.792768792335","1169.06","","","Open"
"0x1d9d3f80120fc6e3bfcf3eced3de6bc785f4c97737bfe94ce64041f99628f90b","11658978","1610704248","2021-01-15 09:50:48","0xe67163ab11d4b39c5616bd84bbdf8efbdf7a5d00","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.01888644","63.9403296445562","1169.06","","","Close"
"0x0c4e6a87d01f49e19f200bf8d84aa8d8b988b507a3ab755117f1e7c53a26f753","11658994","1610704494","2021-01-15 09:54:54","0xe67163ab11d4b39c5616bd84bbdf8efbdf7a5d00","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.03372918","114.190651485435","1169.06","","","Open"
"0x6e793ad54eec314306048e889595581367eaf60b054d7e6d354ac140d7cf07ac","11660463","1610724009","2021-01-15 15:20:09","0xe67163ab11d4b39c5616bd84bbdf8efbdf7a5d00","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.06059781","205.154806683429","1169.06","","","Close"
"0x7c5251c920dc2f4458f7e86df848c6c49b25f9928b35399f36486b9278cc9887","11660552","1610725005","2021-01-15 15:36:45","0xe67163ab11d4b39c5616bd84bbdf8efbdf7a5d00","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.054326048","183.921661118029","1169.06","","","Close"
"0x121a3613acfc7cc4f14a0fac68c00b6131602d96cb9362ec588cdc5e77605a2c","11682982","1611022859","2021-01-19 02:20:59","0xbf3a6e2810ef22109919ca0edd785ee1e466efaa","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.0867472","293.683963930855","1367.65","","","Open"
"0x2bc50aac86774823839457475db775e1f98c2e7d5046859c1847925300dcb1fb","11685468","1611055803","2021-01-19 11:30:03","0xbf3a6e2810ef22109919ca0edd785ee1e466efaa","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.035678727","120.790872481957","1367.65","","","Draw"
"0xf8e39fe711c255063d062a20a8d41a7291d2e00020719376005c0555da66a16e","11711635","1611402646","2021-01-23 11:50:46","0x43423d151b29503024cf264da37068ffedbe1446","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.04936096","167.11228023766","1234.10","","","Open"
"0xacce46d6fb5a6753ef55c15188924e358a0d5a7a9b4f2e1273c56e05de406b6c","11743791","1611830081","2021-01-28 10:34:41","0x5fc0d57807aa9a029f8306baf0c4dccafe87afaa","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.06282388","212.691200498879","1330.78","","","Open"
"0x119515675764edf17201045aebfab4b3ea527a9850aadfec250f763df9f4cc1b","11788376","1612423416","2021-02-04 07:23:36","0x62f7a1f94aba23ed2dd108f8d23aa3e7d452565b","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.083203831","281.687834331401","1597.44","","","Repay"
"0x83a527e6c7ee9812829d2f9f6c5c4f6090b081853417d39d26b48b9ac646ac29","11790669","1612453519","2021-02-04 15:45:19","0x5d396a2106694308a40608ef14a1c0892b6b7faa","0xaa03ab31b55dceeef845c8d17890cc61cd98ed04","","0","0","0","0.1794418","607.502940946654","1597.44","","","Open"
